City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Sydney,66214,2020,12,31,2020-12-31 00:00:00 UTC,-33.86,151.21,24.5,18.3,10.5,0.2
Brisbane,40913,2020,12,31,2020-12-31 00:00:00 UTC,-27.48,153.04,29.6,21.1,23.9,2.8
Perth,9225,2020,12,31,2020-12-31 00:00:00 UTC,-31.96,115.79,30.8,21.5,30.0,0.0
Adelaide,23000,2020,12,31,2020-12-31 00:00:00 UTC,-34.92,138.6,29.3,15.3,32.0,0.0
Melbourne,86338,2020,12,31,2020-12-31 00:00:00 UTC,-37.83,144.98,21.2,15.5,7.3,0.0
Sydney,66214,2020,12,30,2020-12-30 00:00:00 UTC,-33.86,151.21,24.0,17.2,14.0,19.2
Brisbane,40913,2020,12,30,2020-12-30 00:00:00 UTC,-27.48,153.04,26.2,24.4,6.4,0.0
Perth,9225,2020,12,30,2020-12-30 00:00:00 UTC,-31.96,115.79,33.6,24.1,31.8,0.0
Adelaide,23000,2020,12,30,2020-12-30 00:00:00 UTC,-34.92,138.6,29.3,12.9,26.0,0.0
Melbourne,86338,2020,12,30,2020-12-30 00:00:00 UTC,-37.83,144.98,21.4,13.7,30.3,0.0
Sydney,66214,2020,12,29,2020-12-29 00:00:00 UTC,-33.86,151.21,20.8,16.9,5.1,14.0
Brisbane,40913,2020,12,29,2020-12-29 00:00:00 UTC,-27.48,153.04,30.5,21.9,22.6,0.0
Perth,9225,2020,12,29,2020-12-29 00:00:00 UTC,-31.96,115.79,39.0,19.0,31.8,0.0
Adelaide,23000,2020,12,29,2020-12-29 00:00:00 UTC,-34.92,138.6,22.8,10.1,32.0,0.0
Melbourne,86338,2020,12,29,2020-12-29 00:00:00 UTC,-37.83,144.98,21.3,9.0,30.7,0.0
Sydney,66214,2020,12,28,2020-12-28 00:00:00 UTC,-33.86,151.21,30.3,19.3,14.5,0.0
Brisbane,40913,2020,12,28,2020-12-28 00:00:00 UTC,-27.48,153.04,30.3,21.1,30.9,0.0
Perth,9225,2020,12,28,2020-12-28 00:00:00 UTC,-31.96,115.79,34.1,14.2,31.6,0.0
Adelaide,23000,2020,12,28,2020-12-28 00:00:00 UTC,-34.92,138.6,20.9,9.2,26.9,0.0
Melbourne,86338,2020,12,28,2020-12-28 00:00:00 UTC,-37.83,144.98,17.8,11.5,26.5,3.2
Sydney,66214,2020,12,27,2020-12-27 00:00:00 UTC,-33.86,151.21,27.4,17.3,31.0,3.6
Brisbane,40913,2020,12,27,2020-12-27 00:00:00 UTC,-27.48,153.04,29.3,18.6,29.3,0.0
Perth,9225,2020,12,27,2020-12-27 00:00:00 UTC,-31.96,115.79,29.7,16.0,31.9,0.0
Adelaide,23000,2020,12,27,2020-12-27 00:00:00 UTC,-34.92,138.6,26.0,23.1,11.8,0.0
Melbourne,86338,2020,12,27,2020-12-27 00:00:00 UTC,-37.83,144.98,31.9,16.2,3.3,0.0
Sydney,66214,2020,12,26,2020-12-26 00:00:00 UTC,-33.86,151.21,25.8,17.5,18.4,0.8
Brisbane,40913,2020,12,26,2020-12-26 00:00:00 UTC,-27.48,153.04,28.1,19.2,22.0,0.0
Perth,9225,2020,12,26,2020-12-26 00:00:00 UTC,-31.96,115.79,29.6,22.0,30.9,0.0
Adelaide,23000,2020,12,26,2020-12-26 00:00:00 UTC,-34.92,138.6,35.5,13.7,32.0,0.0
Melbourne,86338,2020,12,26,2020-12-26 00:00:00 UTC,-37.83,144.98,27.4,10.2,32.1,0.0
Sydney,66214,2020,12,25,2020-12-25 00:00:00 UTC,-33.86,151.21,21.9,18.0,7.0,0.6
Brisbane,40913,2020,12,25,2020-12-25 00:00:00 UTC,-27.48,153.04,28.4,21.7,19.8,0.0
Perth,9225,2020,12,25,2020-12-25 00:00:00 UTC,-31.96,115.79,40.4,19.2,30.8,0.0
Adelaide,23000,2020,12,25,2020-12-25 00:00:00 UTC,-34.92,138.6,29.6,13.6,32.1,0.0
Melbourne,86338,2020,12,25,2020-12-25 00:00:00 UTC,-37.83,144.98,20.0,13.6,23.0,0.0
Sydney,66214,2020,12,24,2020-12-24 00:00:00 UTC,-33.86,151.21,26.9,17.2,28.3,0.0
Brisbane,40913,2020,12,24,2020-12-24 00:00:00 UTC,-27.48,153.04,28.2,20.5,18.8,0.0
Perth,9225,2020,12,24,2020-12-24 00:00:00 UTC,-31.96,115.79,41.1,20.5,31.9,0.0
Adelaide,23000,2020,12,24,2020-12-24 00:00:00 UTC,-34.92,138.6,26.7,10.9,30.3,0.0
Melbourne,86338,2020,12,24,2020-12-24 00:00:00 UTC,-37.83,144.98,18.7,13.4,23.1,1.0
Sydney,66214,2020,12,23,2020-12-23 00:00:00 UTC,-33.86,151.21,26.3,16.2,30.7,0.0
Brisbane,40913,2020,12,23,2020-12-23 00:00:00 UTC,-27.48,153.04,32.3,23.6,29.8,2.4
