City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Sydney,66214,2020,1,11,2020-01-11 00:00:00 UTC,-33.86,151.21,23.1,19,6.6,0.2
Brisbane,40913,2020,1,11,2020-01-11 00:00:00 UTC,-27.48,153.04,32,24.1,18.5,0
Perth,9225,2020,1,11,2020-01-11 00:00:00 UTC,-31.96,115.79,35.7,17.7,31.1,0
Adelaide,23000,2020,1,11,2020-01-11 00:00:00 UTC,-34.92,138.6,25.1,12.7,30.6,1.8
Melbourne,86338,2020,1,11,2020-01-11 00:00:00 UTC,-37.83,144.98,19.3,13.5,18.2,15.6
Sydney,66214,2020,1,10,2020-01-10 00:00:00 UTC,-33.86,151.21,31.3,21.4,27.5,0.4
Brisbane,40913,2020,1,10,2020-01-10 00:00:00 UTC,-27.48,153.04,31.8,23.9,29.3,0
Perth,9225,2020,1,10,2020-01-10 00:00:00 UTC,-31.96,115.79,32.1,15.8,31.3,0
Adelaide,23000,2020,1,10,2020-01-10 00:00:00 UTC,-34.92,138.6,22.6,22.6,6.8,0
Melbourne,86338,2020,1,10,2020-01-10 00:00:00 UTC,-37.83,144.98,32.9,20.1,10.1,0
Sydney,66214,2020,1,9,2020-01-09 00:00:00 UTC,-33.86,151.21,26.5,21.2,12.8,0
Brisbane,40913,2020,1,9,2020-01-09 00:00:00 UTC,-27.48,153.04,31.8,23.4,30.3,0
Perth,9225,2020,1,9,2020-01-09 00:00:00 UTC,-31.96,115.79,26,17.3,30.9,0
Adelaide,23000,2020,1,9,2020-01-09 00:00:00 UTC,-34.92,138.6,42.1,22.6,29.2,0
Melbourne,86338,2020,1,9,2020-01-09 00:00:00 UTC,-37.83,144.98,31.9,17.9,29.8,0
Sydney,66214,2020,1,8,2020-01-08 00:00:00 UTC,-33.86,151.21,27.7,21.1,18.3,3
Brisbane,40913,2020,1,8,2020-01-08 00:00:00 UTC,-27.48,153.04,32.1,22.2,30,NaN
Perth,9225,2020,1,8,2020-01-08 00:00:00 UTC,-31.96,115.79,28.9,18.6,31.1,0
